"","gene","colors"
"278","Pastreoides03082","brown"
"279","Pastreoides03123","grey"
"280","Pastreoides03135","greenyellow"
"281","Pastreoides03137","turquoise"
"282","Pastreoides03139","magenta"
"283","Pastreoides03151","yellow"
"284","Pastreoides03158","grey"
"285","Pastreoides03170","blue"
"286","Pastreoides03175","grey"
"287","Pastreoides03185","pink"
"288","Pastreoides03186","green"
"289","Pastreoides03188","grey60"
"290","Pastreoides03198","grey"
"291","Pastreoides03200","grey"
"292","Pastreoides03208","yellow"
"293","Pastreoides03227","lightcyan"
"294","Pastreoides03228","yellow"
"295","Pastreoides03234","blue"
"296","Pastreoides03239","brown"
"297","Pastreoides03240","grey"
"298","Pastreoides03278","grey"
"299","Pastreoides03282","turquoise"
"300","Pastreoides03295","brown"
"301","Pastreoides03298","grey"
"302","Pastreoides03300","midnightblue"
"303","Pastreoides03304","purple"
"304","Pastreoides03317","magenta"
"305","Pastreoides03353","midnightblue"
"306","Pastreoides03357","brown"
"307","Pastreoides03371","grey"
"308","Pastreoides03407","brown"
"309","Pastreoides03415","green"
"310","Pastreoides03425","greenyellow"
"311","Pastreoides03438","pink"
"312","Pastreoides03440","turquoise"
"313","Pastreoides03442","red"
"314","Pastreoides03464","salmon"
"315","Pastreoides03466","blue"
"316","Pastreoides03469","grey60"
"317","Pastreoides03474","greenyellow"
"318","Pastreoides03482","blue"
"319","Pastreoides03483","green"
"320","Pastreoides03484","purple"
"321","Pastreoides03529","brown"
"322","Pastreoides03537","turquoise"
"323","Pastreoides03540","brown"
"324","Pastreoides03547","grey"
"325","Pastreoides03548","turquoise"
"326","Pastreoides03558","red"
"327","Pastreoides03623","grey60"
"328","Pastreoides03659","pink"
"329","Pastreoides03665","magenta"
"330","Pastreoides03768","grey"
"331","Pastreoides03773","turquoise"
"332","Pastreoides03778","black"
"333","Pastreoides03782","pink"
"334","Pastreoides03790","yellow"
"335","Pastreoides03791","magenta"
"336","Pastreoides03793","grey"
"337","Pastreoides03794","magenta"
"338","Pastreoides03799","turquoise"
"339","Pastreoides03819","brown"
"340","Pastreoides03823","yellow"
"341","Pastreoides03825","cyan"
"342","Pastreoides03826","brown"
"343","Pastreoides03843","magenta"
"344","Pastreoides03847","yellow"
"345","Pastreoides03885","blue"
"346","Pastreoides03886","lightgreen"
"347","Pastreoides03899","lightcyan"
"348","Pastreoides03906","green"
"349","Pastreoides03907","blue"
"350","Pastreoides03912","lightgreen"
"351","Pastreoides03915","green"
"352","Pastreoides03951","brown"
"353","Pastreoides03957","blue"
"354","Pastreoides03961","turquoise"
"355","Pastreoides03962","green"
"356","Pastreoides03963","greenyellow"
"357","Pastreoides03970","brown"
"358","Pastreoides03971","brown"
"359","Pastreoides03972","blue"
"360","Pastreoides03978","midnightblue"
"361","Pastreoides03994","blue"
"362","Pastreoides04015","green"
"363","Pastreoides04058","tan"
"364","Pastreoides04069","blue"
"365","Pastreoides04078","greenyellow"
"366","Pastreoides04123","brown"
"367","Pastreoides04153","grey"
