"","Date","coral.id.x","Origin","Treatment.y","Transplant.Site","N","Conc.calcS.mg.mm3","sd","se","ci"
"26",20180709,"P-10-A","Patch","Ambient","Patch",3,2.44170037210575,0.082879138065334,0.0478502926722248,0.205883192385459
"27",20180709,"P-12-A","Patch","Hot","Patch",3,2.05148642767005,0.233042287361561,0.134547027340764,0.578909134467412
"28",20180709,"P-14-A","Patch","Hot","Patch",3,2.15865457937423,0.09634620841281,0.0556255093625357,0.239337249702418
"29",20180709,"P-14-B","Patch","Hot","Rim",3,1.9107329787808,0.141938744754136,0.0819483724922381,0.352595388602254
"30",20180709,"P-15-A","Patch","Hot","Patch",3,1.89077397689322,0.0976723701311335,0.0563911691875987,0.242631618038785
"31",20180709,"P-16-A","Patch","Hot","Patch",3,1.61537519815353,0.0969669374342293,0.0559838874301459,0.240879226073304
"32",20180709,"P-19-A","Patch","Hot","Patch",3,1.91119855295568,0.0876992283464201,0.0506331730935281,0.217856960426746
"33",20180709,"P-19-B","Patch","Hot","Rim",3,1.29947727764443,0.0683813375906866,0.0394799836655296,0.169868659488955
"34",20180709,"P-4-A","Patch","Ambient","Patch",3,1.92382196497677,0.0837176810442661,0.0483344256868383,0.207966248622347
"35",20180709,"P-6-A","Patch","Ambient","Patch",3,2.25750007678222,0.11709888829833,0.0676070746808466,0.29088976442592
"36",20180709,"R-19-A","Rim","Hot","Patch",3,2.03483035614872,0.0650062332455413,0.0375313662633169,0.161484435504087
"37",20180709,"R-7-B","Rim","Ambient","Rim",3,1.79158559127657,0.0618357837657062,0.035700906402682,0.15360860238803
"38",20180710,"P-10-A","Patch","Ambient","Patch",3,1.96702927389698,0.0793290095995365,0.0458006250468388,0.197064184382013
"39",20180710,"P-10-B","Patch","Ambient","Rim",3,2.62735091078409,0.17646604521871,0.101882718709851,0.438365957771236
"40",20180710,"P-12-A","Patch","Hot","Patch",3,2.01556238331454,0.30739766690556,0.177476125736188,0.763618136864168
"41",20180710,"P-12-B","Patch","Hot","Rim",3,1.70005373304045,0.0240482346834866,0.0138842547680463,0.0597391266782712
"42",20180710,"P-14-A","Patch","Hot","Patch",3,2.25244629706319,0.121534937821754,0.0701682290673344,0.301909522338252
"43",20180710,"P-15-B","Patch","Hot","Rim",3,1.37414917159879,0.104368054419234,0.0602569243137422,0.25926461988483
"44",20180710,"P-16-A","Patch","Hot","Patch",3,1.17592251861369,0.032996582915762,0.019050586028753,0.0819680559799411
"45",20180710,"P-19-A","Patch","Hot","Patch",3,2.0076786370447,0.095315278668534,0.0550303017971623,0.236776278246497
"46",20180710,"P-19-B","Patch","Hot","Rim",3,2.5185920501042,0.0580122594303419,0.0334933935984063,0.144110441394756
"47",20180710,"R-11-B","Rim","Hot","Rim",3,2.94556229051546,0.162625672358515,0.0938919757133323,0.403984565604539
"48",20180711,"P-10-A","Patch","Ambient","Patch",3,1.49753122878287,0.0948315927119787,0.0547510455799418,0.235574735721174
"49",20180711,"P-12-A","Patch","Hot","Patch",3,1.5771481332568,0.0753619184485982,0.0435102239029448,0.187209383648016
"50",20180711,"P-15-B","Patch","Hot","Rim",3,1.48986259622601,0.0924197076422162,0.05335854308566,0.229583281062969
"51",20180711,"P-16-A","Patch","Hot","Patch",3,2.29563588779725,0.105444638828291,0.0608784906121167,0.261939003815251
"52",20180711,"P-19-A","Patch","Hot","Patch",3,2.12031484249266,0.013175263964615,0.00760674219661482,0.0327291700767652
"53",20180711,"P-19-B","Patch","Hot","Rim",3,2.30721165715591,0.0593742910687484,0.0342797629314851,0.147493915552319
"54",20180711,"P-9-A","Patch","Ambient","Patch",3,1.96198155294772,0.0255518667475837,0.0147523771450149,0.0634743557932919
"55",20180711,"R-14-B","Rim","Hot","Rim",3,2.18095045335753,0.134795526378305,0.0778242334400719,0.334850650451585
"56",20180711,"R-15-A","Rim","Hot","Patch",3,2.30348002790754,0.308048114470683,0.177851661813005,0.765233938190206
"57",20180711,"R-8-A","Rim","Ambient","Patch",3,2.45179408289528,0.0409080711291663,0.0236182858784525,0.101621282206927
