Mooring Name,Latitude,Longitude,Date,Time,SST_C,Salinity
HOG_REEF_64W_32N,32.457,-64.835,10/23/2017,15:17,25.224,36.483
HOG_REEF_64W_32N,32.457,-64.835,10/23/2017,18:17,25.421,36.485
HOG_REEF_64W_32N,32.457,-64.835,10/23/2017,21:17,25.42,36.487
HOG_REEF_64W_32N,32.457,-64.835,10/24/2017,0:17,25.317,36.501
HOG_REEF_64W_32N,32.457,-64.835,10/24/2017,3:17,25.118,36.517
HOG_REEF_64W_32N,32.457,-64.835,10/24/2017,6:17,25.056,36.521
HOG_REEF_64W_32N,32.457,-64.835,10/24/2017,9:17,25.023,36.524
HOG_REEF_64W_32N,32.457,-64.835,10/24/2017,12:17,24.892,36.529
HOG_REEF_64W_32N,32.457,-64.835,10/24/2017,15:17,24.972,36.523
HOG_REEF_64W_32N,32.457,-64.835,10/24/2017,18:17,25.168,36.524
HOG_REEF_64W_32N,32.457,-64.835,10/24/2017,21:17,25.145,36.523
HOG_REEF_64W_32N,32.457,-64.835,10/25/2017,0:17,25.087,36.515
HOG_REEF_64W_32N,32.457,-64.835,10/25/2017,3:17,24.954,36.536
HOG_REEF_64W_32N,32.457,-64.835,10/25/2017,6:17,24.828,36.545
HOG_REEF_64W_32N,32.457,-64.835,10/25/2017,9:17,24.838,36.518
HOG_REEF_64W_32N,32.457,-64.835,10/25/2017,12:17,24.793,36.482
HOG_REEF_64W_32N,32.457,-64.835,10/25/2017,15:17,24.963,36.513
HOG_REEF_64W_32N,32.457,-64.835,10/25/2017,18:17,25.072,36.512
HOG_REEF_64W_32N,32.457,-64.835,10/25/2017,21:17,25.088,36.483
HOG_REEF_64W_32N,32.457,-64.835,10/26/2017,0:17,25.033,36.493
HOG_REEF_64W_32N,32.457,-64.835,10/26/2017,3:17,24.951,36.497
HOG_REEF_64W_32N,32.457,-64.835,10/26/2017,6:17,24.893,36.531
HOG_REEF_64W_32N,32.457,-64.835,10/26/2017,9:17,24.819,36.521
HOG_REEF_64W_32N,32.457,-64.835,10/26/2017,12:17,24.776,36.525
