Vial,coral.id,Date.sampled,life.stage,metric
453,P-12-A,20180628,Adult,Chl A
454,P-12-A,20180628,Adult,EXTRA
455,P-12-A,20180628,Adult,EXTRA
456,P-12-A,20180628,Adult,EXTRA
457,R-15-B,20180626,Adult,Zoox
458,R-15-B,20180626,Adult,Zoox
459,R-15-B,20180626,Adult,Zoox
460,R-15-B,20180626,Adult,Protein
461,R-15-B,20180626,Adult,Protein
462,R-15-B,20180626,Adult,Protein
463,R-15-B,20180626,Adult,Chl A
464,R-15-B,20180626,Adult,Chl A
465,R-15-B,20180626,Adult,Chl A
466,R-15-B,20180626,Adult,EXTRA
467,R-15-B,20180626,Adult,EXTRA
468,R-15-B,20180626,Adult,EXTRA
469,P-16-A,20180628,Adult,Zoox
470,P-16-A,20180628,Adult,Zoox
471,P-16-A,20180628,Adult,Zoox
472,P-16-A,20180628,Adult,Protein
473,P-16-A,20180628,Adult,Protein
474,P-16-A,20180628,Adult,Protein
475,P-16-A,20180628,Adult,Chl A
476,P-16-A,20180628,Adult,Chl A
477,P-16-A,20180628,Adult,Chl A
478,P-16-A,20180628,Adult,EXTRA
479,P-16-A,20180628,Adult,EXTRA
480,P-16-A,20180628,Adult,EXTRA
481,,,Adult,
482,,,Adult,
483,,,Adult,
484,,,Adult,
485,,,Adult,
486,,,Adult,
487,,,Adult,
488,,,Adult,
489,,,Adult,
490,,,Adult,
491,,,Adult,
492,,,Adult,
493,,,Adult,
494,,,Adult,
495,,,Adult,
496,,,Adult,
497,,,Adult,
498,,,Adult,
499,,,Adult,
500,,,Adult,
501,,,Adult,
502,,,Adult,
503,,,Adult,
504,,,Adult,
505,,,Adult,
506,,,Adult,
507,,,Adult,
508,,,Adult,
509,,,Adult,
510,,,Adult,
511,,,Adult,
512,,,Adult,
513,,,Adult,
514,,,Adult,
515,,,Adult,
516,,,Adult,
517,,,Adult,
518,,,Adult,
519,,,Adult,
520,,,Adult,
521,,,Adult,
522,,,Adult,
523,,,Adult,
524,,,Adult,
525,,,Adult,
526,,,Adult,
527,,,Adult,
528,,,Adult,
529,,,Adult,
530,,,Adult,
531,,,Adult,
532,,,Adult,
533,,,Adult,
534,,,Adult,
535,,,Adult,
536,,,Adult,
537,,,Adult,
538,,,Adult,
539,,,Adult,
540,,,Adult,
541,,,Adult,
542,,,Adult,
543,,,Adult,
544,,,Adult,
545,,,Adult,
546,,,Adult,
547,,,Adult,
548,,,Adult,
549,,,Adult,
550,,,Adult,
551,,,Adult,
552,,,Adult,
553,,,Adult,
554,,,Adult,
555,,,Adult,
556,,,Adult,
557,,,Adult,
558,,,Adult,
559,,,Adult,
560,,,Adult,
561,,,Adult,
562,,,Adult,
563,,,Adult,
564,,,Adult,
565,,,Adult,
566,,,Adult,
567,,,Adult,
568,,,Adult,
569,,,Adult,
570,,,Adult,
571,,,Adult,
572,,,Adult,
573,,,Adult,
574,,,Adult,
575,,,Adult,
576,,,Adult,
577,,,Adult,
578,,,Adult,
579,,,Adult,
580,,,Adult,
581,,,Adult,
582,,,Adult,
583,,,Adult,
584,,,Adult,
585,,,Adult,
586,,,Adult,
587,,,Adult,
588,,,Adult,
589,,,Adult,
590,,,Adult,
591,,,Adult,
592,,,Adult,
593,,,Adult,
594,,,Adult,
595,,,Adult,
596,,,Adult,
597,,,Adult,
598,,,Adult,
599,,,Adult,
600,,,Adult,
601,,,Adult,
602,,,Adult,
603,,,Adult,
604,,,Adult,
605,,,Adult,
606,,,Adult,
607,,,Adult,
608,,,Adult,
609,,,Adult,
610,,,Adult,
611,,,Adult,
612,,,Adult,
613,,,Adult,
614,,,Adult,
615,,,Adult,
616,,,Adult,
617,,,Adult,
618,,,Adult,
619,,,Adult,
620,,,Adult,
621,,,Adult,
622,,,Adult,
623,,,Adult,
624,,,Adult,
625,,,Adult,
626,,,Adult,
627,,,Adult,
628,,,Adult,
629,,,Adult,
630,,,Adult,
631,,,Adult,
632,,,Adult,
633,,,Adult,
634,,,Adult,
635,,,Adult,
636,,,Adult,
637,,,Adult,
638,,,Adult,
639,,,Adult,
640,,,Adult,
641,,,Adult,
642,,,Adult,
643,,,Adult,
644,,,Adult,
645,,,Adult,
646,,,Adult,
647,,,Adult,
648,,,Adult,
649,,,Adult,
650,,,Adult,
651,,,Adult,
652,,,Adult,
653,,,Adult,
654,,,Adult,
655,,,Adult,
656,,,Adult,
657,,,Adult,
658,,,Adult,
659,,,Adult,
660,,,Adult,
661,,,Adult,
662,,,Adult,
663,,,Adult,
664,,,Adult,
665,,,Adult,
666,,,Adult,
667,,,Adult,
668,,,Adult,
669,,,Adult,
670,,,Adult,
671,,,Adult,
672,,,Adult,
673,,,Adult,
674,,,Adult,
675,,,Adult,
676,,,Adult,
677,,,Adult,
678,,,Adult,
679,,,Adult,
680,,,Adult,
681,,,Adult,
682,,,Adult,
683,,,Adult,
684,,,Adult,
685,,,Adult,
686,,,Adult,
687,,,Adult,
688,,,Adult,
689,,,Adult,
690,,,Adult,
691,,,Adult,
692,,,Adult,
693,,,Adult,
694,,,Adult,
695,,,Adult,
696,,,Adult,
697,,,Adult,
698,,,Adult,
699,,,Adult,
700,,,Adult,
701,,,Adult,
702,,,Adult,
703,,,Adult,
704,,,Adult,
705,,,Adult,
706,,,Adult,
707,,,Adult,
708,,,Adult,
709,,,Adult,
710,,,Adult,
711,,,Adult,
712,,,Adult,
713,,,Adult,
714,,,Adult,
715,,,Adult,
716,,,Adult,
717,,,Adult,
718,,,Adult,
719,,,Adult,
720,,,Adult,
721,,,Adult,
722,,,Adult,
723,,,Adult,
724,,,Adult,
725,,,Adult,
726,,,Adult,
727,,,Adult,
728,,,Adult,
729,,,Adult,
730,,,Adult,
731,,,Adult,
