"","gene","colors"
"465","Pastreoides03282","midnightblue"
"466","Pastreoides03290","red"
"467","Pastreoides03291","tan"
"468","Pastreoides03292","magenta"
"469","Pastreoides03295","blue"
"470","Pastreoides03298","royalblue"
"471","Pastreoides03300","lightgreen"
"472","Pastreoides03301","pink"
"473","Pastreoides03303","red"
"474","Pastreoides03304","yellow"
"475","Pastreoides03317","brown"
"476","Pastreoides03348","darkgreen"
"477","Pastreoides03352","red"
"478","Pastreoides03353","royalblue"
"479","Pastreoides03357","turquoise"
"480","Pastreoides03362","red"
"481","Pastreoides03371","grey"
"482","Pastreoides03376","lightgreen"
"483","Pastreoides03407","turquoise"
"484","Pastreoides03408","black"
"485","Pastreoides03415","darkturquoise"
"486","Pastreoides03422","darkturquoise"
"487","Pastreoides03423","cyan"
"488","Pastreoides03425","brown"
"489","Pastreoides03435","black"
"490","Pastreoides03438","cyan"
"491","Pastreoides03440","blue"
"492","Pastreoides03442","red"
"493","Pastreoides03447","yellow"
"494","Pastreoides03458","purple"
"495","Pastreoides03464","tan"
"496","Pastreoides03466","magenta"
"497","Pastreoides03469","lightgreen"
"498","Pastreoides03474","greenyellow"
"499","Pastreoides03477","grey60"
"500","Pastreoides03478","purple"
"501","Pastreoides03482","brown"
"502","Pastreoides03483","lightcyan"
"503","Pastreoides03484","grey"
"504","Pastreoides03503","green"
"505","Pastreoides03507","cyan"
"506","Pastreoides03518","salmon"
"507","Pastreoides03519","green"
"508","Pastreoides03528","green"
"509","Pastreoides03529","purple"
"510","Pastreoides03537","red"
"511","Pastreoides03539","turquoise"
"512","Pastreoides03540","turquoise"
"513","Pastreoides03545","blue"
"514","Pastreoides03547","turquoise"
"515","Pastreoides03548","green"
"516","Pastreoides03551","lightgreen"
"517","Pastreoides03558","purple"
"518","Pastreoides03622","lightcyan"
"519","Pastreoides03623","turquoise"
"520","Pastreoides03650","blue"
"521","Pastreoides03658","cyan"
"522","Pastreoides03659","magenta"
"523","Pastreoides03661","midnightblue"
"524","Pastreoides03664","lightcyan"
"525","Pastreoides03665","pink"
"526","Pastreoides03681","grey60"
"527","Pastreoides03704","blue"
"528","Pastreoides03706","brown"
"529","Pastreoides03768","yellow"
"530","Pastreoides03773","blue"
"531","Pastreoides03778","cyan"
"532","Pastreoides03782","salmon"
"533","Pastreoides03784","grey"
"534","Pastreoides03789","salmon"
"535","Pastreoides03790","black"
"536","Pastreoides03791","pink"
"537","Pastreoides03793","green"
"538","Pastreoides03794","blue"
"539","Pastreoides03799","cyan"
"540","Pastreoides03805","blue"
"541","Pastreoides03808","brown"
"542","Pastreoides03819","pink"
"543","Pastreoides03820","pink"
"544","Pastreoides03823","brown"
"545","Pastreoides03825","cyan"
"546","Pastreoides03826","yellow"
"547","Pastreoides03843","pink"
"548","Pastreoides03847","brown"
"549","Pastreoides03885","blue"
"550","Pastreoides03886","salmon"
"551","Pastreoides03899","brown"
"552","Pastreoides03900","tan"
"553","Pastreoides03906","midnightblue"
"554","Pastreoides03907","blue"
"555","Pastreoides03912","tan"
"556","Pastreoides03915","brown"
"557","Pastreoides03932","lightcyan"
"558","Pastreoides03935","grey"
"559","Pastreoides03936","purple"
"560","Pastreoides03941","purple"
"561","Pastreoides03943","royalblue"
"562","Pastreoides03951","lightgreen"
"563","Pastreoides03957","blue"
"564","Pastreoides03961","grey"
"565","Pastreoides03962","brown"
"566","Pastreoides03963","lightcyan"
"567","Pastreoides03970","grey"
"568","Pastreoides03971","blue"
"569","Pastreoides03972","black"
"570","Pastreoides03978","brown"
"571","Pastreoides03980","darkturquoise"
"572","Pastreoides03994","yellow"
"573","Pastreoides04007","black"
"574","Pastreoides04013","salmon"
"575","Pastreoides04014","greenyellow"
"576","Pastreoides04015","tan"
"577","Pastreoides04058","midnightblue"
"578","Pastreoides04059","magenta"
"579","Pastreoides04062","yellow"
"580","Pastreoides04068","turquoise"
"581","Pastreoides04069","black"
"582","Pastreoides04072","yellow"
"583","Pastreoides04073","midnightblue"
"584","Pastreoides04078","yellow"
"585","Pastreoides04100","pink"
"586","Pastreoides04123","turquoise"
"587","Pastreoides04145","greenyellow"
"588","Pastreoides04151","pink"
"589","Pastreoides04153","green"
"590","Pastreoides04181","yellow"
"591","Pastreoides04183","black"
"592","Pastreoides04187","darkturquoise"
"593","Pastreoides04202","magenta"
"594","Pastreoides04204","turquoise"
"595","Pastreoides04209","pink"
"596","Pastreoides04222","blue"
"597","Pastreoides04226","red"
"598","Pastreoides04243","tan"
"599","Pastreoides04245","pink"
"600","Pastreoides04257","grey"
"601","Pastreoides04258","cyan"
"602","Pastreoides04266","pink"
"603","Pastreoides04268","royalblue"
"604","Pastreoides04269","red"
"605","Pastreoides04270","grey"
"606","Pastreoides04272","salmon"
"607","Pastreoides04273","pink"
"608","Pastreoides04278","salmon"
"609","Pastreoides04328","grey"
"610","Pastreoides04329","midnightblue"
"611","Pastreoides04333","black"
"612","Pastreoides04378","green"
"613","Pastreoides04412","red"
"614","Pastreoides04415","black"
"615","Pastreoides04444","pink"
"616","Pastreoides04445","green"
"617","Pastreoides04450","green"
"618","Pastreoides04487","blue"
"619","Pastreoides04496","red"
"620","Pastreoides04524","black"
"621","Pastreoides04527","black"
"622","Pastreoides04538","yellow"
"623","Pastreoides04539","grey"
"624","Pastreoides04543","turquoise"
"625","Pastreoides04546","turquoise"
"626","Pastreoides04548","brown"
"627","Pastreoides04556","blue"
"628","Pastreoides04557","brown"
"629","Pastreoides04558","black"
"630","Pastreoides04562","green"
"631","Pastreoides04566","grey60"
"632","Pastreoides04584","green"
"633","Pastreoides04585","yellow"
"634","Pastreoides04586","lightcyan"
"635","Pastreoides04587","grey"
"636","Pastreoides04595","purple"
"637","Pastreoides04598","black"
"638","Pastreoides04600","red"
"639","Pastreoides04601","pink"
"640","Pastreoides04602","tan"
"641","Pastreoides04613","pink"
"642","Pastreoides04621","tan"
"643","Pastreoides04626","pink"
"644","Pastreoides04631","grey"
"645","Pastreoides04633","magenta"
"646","Pastreoides04638","yellow"
"647","Pastreoides04647","greenyellow"
"648","Pastreoides04660","black"
"649","Pastreoides04661","lightyellow"
"650","Pastreoides04662","cyan"
"651","Pastreoides04667","magenta"
"652","Pastreoides04671","grey"
"653","Pastreoides04681","tan"
"654","Pastreoides04682","brown"
"655","Pastreoides04692","tan"
"656","Pastreoides04713","darkgreen"
"657","Pastreoides04765","blue"
"658","Pastreoides04766","blue"
"659","Pastreoides04772","turquoise"
"660","Pastreoides04780","grey"
"661","Pastreoides04785","grey60"
"662","Pastreoides04791","grey60"
"663","Pastreoides04801","darkred"
"664","Pastreoides04808","green"
"665","Pastreoides04810","brown"
"666","Pastreoides04828","purple"
"667","Pastreoides04831","yellow"
"668","Pastreoides04835","grey"
"669","Pastreoides04842","tan"
"670","Pastreoides04851","blue"
"671","Pastreoides04853","brown"
"672","Pastreoides04857","lightgreen"
"673","Pastreoides04914","blue"
"674","Pastreoides04945","salmon"
"675","Pastreoides04950","red"
"676","Pastreoides04951","grey"
"677","Pastreoides04960","cyan"
"678","Pastreoides04969","red"
"679","Pastreoides04970","turquoise"
"680","Pastreoides04973","brown"
"681","Pastreoides04976","blue"
"682","Pastreoides04977","blue"
"683","Pastreoides04990","turquoise"
"684","Pastreoides05026","brown"
"685","Pastreoides05033","black"
"686","Pastreoides05041","salmon"
"687","Pastreoides05042","grey60"
"688","Pastreoides05053","grey"
"689","Pastreoides05059","turquoise"
"690","Pastreoides05060","lightcyan"
"691","Pastreoides05063","lightgreen"
"692","Pastreoides05066","black"
"693","Pastreoides05078","brown"
"694","Pastreoides05080","cyan"
"695","Pastreoides05081","grey60"
"696","Pastreoides05094","brown"
"697","Pastreoides05097","turquoise"
"698","Pastreoides05100","magenta"
"699","Pastreoides05105","salmon"
"700","Pastreoides05106","yellow"
"701","Pastreoides05107","lightcyan"
"702","Pastreoides05109","turquoise"
"703","Pastreoides05171","green"
"704","Pastreoides05173","tan"
"705","Pastreoides05184","royalblue"
"706","Pastreoides05186","green"
"707","Pastreoides05199","turquoise"
"708","Pastreoides05205","midnightblue"
"709","Pastreoides05216","purple"
"710","Pastreoides05226","tan"
"711","Pastreoides05227","lightcyan"
"712","Pastreoides05233","turquoise"
"713","Pastreoides05246","greenyellow"
"714","Pastreoides05248","black"
"715","Pastreoides05253","purple"
"716","Pastreoides05324","darkred"
"717","Pastreoides05325","yellow"
"718","Pastreoides05332","grey"
"719","Pastreoides05335","blue"
"720","Pastreoides05348","darkgreen"
"721","Pastreoides05354","salmon"
"722","Pastreoides05355","darkgreen"
"723","Pastreoides05356","blue"
"724","Pastreoides05357","blue"
"725","Pastreoides05358","lightcyan"
"726","Pastreoides05372","greenyellow"
"727","Pastreoides05376","purple"
"728","Pastreoides05380","grey"
"729","Pastreoides05382","green"
"730","Pastreoides05385","grey"
"731","Pastreoides05388","tan"
"732","Pastreoides05389","darkred"
"733","Pastreoides05391","green"
"734","Pastreoides05392","green"
"735","Pastreoides05395","brown"
"736","Pastreoides05403","midnightblue"
"737","Pastreoides05424","grey60"
"738","Pastreoides05433","grey60"
"739","Pastreoides05457","grey"
"740","Pastreoides05477","purple"
"741","Pastreoides05479","lightcyan"
"742","Pastreoides05480","blue"
"743","Pastreoides05491","magenta"
"744","Pastreoides05493","yellow"
"745","Pastreoides05495","turquoise"
"746","Pastreoides05498","green"
"747","Pastreoides05500","black"
"748","Pastreoides05502","yellow"
"749","Pastreoides05503","blue"
"750","Pastreoides05505","royalblue"
"751","Pastreoides05506","yellow"
"752","Pastreoides05507","black"
"753","Pastreoides05516","darkgreen"
"754","Pastreoides05518","cyan"
"755","Pastreoides05523","purple"
"756","Pastreoides05525","turquoise"
"757","Pastreoides05528","pink"
"758","Pastreoides05529","grey60"
"759","Pastreoides05530","tan"
"760","Pastreoides05531","cyan"
"761","Pastreoides05533","brown"
"762","Pastreoides05535","grey"
"763","Pastreoides05536","blue"
"764","Pastreoides05537","grey"
"765","Pastreoides05539","brown"
"766","Pastreoides05540","brown"
"767","Pastreoides05578","pink"
"768","Pastreoides05579","magenta"
"769","Pastreoides05582","grey"
"770","Pastreoides05586","grey"
"771","Pastreoides05590","red"
"772","Pastreoides05592","grey"
"773","Pastreoides05597","royalblue"
"774","Pastreoides05601","magenta"
"775","Pastreoides05603","salmon"
"776","Pastreoides05633","darkturquoise"
"777","Pastreoides05634","royalblue"
"778","Pastreoides05638","pink"
"779","Pastreoides05639","salmon"
"780","Pastreoides05645","midnightblue"
"781","Pastreoides05646","greenyellow"
"782","Pastreoides05656","turquoise"
"783","Pastreoides05658","cyan"
"784","Pastreoides05659","grey"
"785","Pastreoides05661","lightcyan"
"786","Pastreoides05668","blue"
"787","Pastreoides05684","grey"
"788","Pastreoides05685","darkgreen"
"789","Pastreoides05695","red"
"790","Pastreoides05696","blue"
"791","Pastreoides05704","yellow"
"792","Pastreoides05705","tan"
"793","Pastreoides05706","blue"
"794","Pastreoides05707","purple"
"795","Pastreoides05709","black"
"796","Pastreoides05710","blue"
"797","Pastreoides05711","blue"
"798","Pastreoides05714","brown"
"799","Pastreoides05715","brown"
"800","Pastreoides05722","blue"
"801","Pastreoides05747","turquoise"
"802","Pastreoides05804","grey"
"803","Pastreoides05810","greenyellow"
"804","Pastreoides05813","lightgreen"
"805","Pastreoides05814","salmon"
"806","Pastreoides05816","yellow"
"807","Pastreoides05818","brown"
"808","Pastreoides05819","tan"
"809","Pastreoides05820","grey"
"810","Pastreoides05827","salmon"
"811","Pastreoides05830","brown"
"812","Pastreoides05833","blue"
"813","Pastreoides05842","red"
"814","Pastreoides05844","brown"
"815","Pastreoides05849","blue"
"816","Pastreoides05854","green"
"817","Pastreoides05859","salmon"
"818","Pastreoides05862","blue"
"819","Pastreoides05864","grey60"
"820","Pastreoides05865","cyan"
"821","Pastreoides05873","black"
"822","Pastreoides05876","brown"
"823","Pastreoides05880","tan"
"824","Pastreoides05883","grey60"
"825","Pastreoides05884","darkred"
"826","Pastreoides05885","midnightblue"
"827","Pastreoides05894","pink"
"828","Pastreoides05895","blue"
