Sample Name_file,Trimming,Sample,Coral.ID,History,Life_Stage,Gel_Result,Extraction_Date,PMS_Date,percent_mCpG,percent_mCHG,percent_mCHH,M_Cs,percent_Dups,percent_Aligned,Ins_size,Median_cov,Mean_cov,R1_percent_BP_Trimmed,R1_percent_Dups,R1_percent_GC,R1_M_Seqs,R2_percent_BP_Trimmed,R2_percent_Dups,R2_percent_GC,R2_M_Seqs
L-661_S182_L004_R1_001_val_1,Trim_3,L-661,R-9-A,Rim-Ambient-Patch,Larvae,Fragmented - usable,20200819,20210428,7.50%,0.60%,1.00%,410.5,16.00%,36.30%,98,2.0X,5.0X,13.90%,20.60%,27%,67.5,13.80%,20.80%,26%,67.5
L-924_S204_L004_R1_001_val_1,Trim_3,L-924,P-9-A,Patch-Ambient-Patch,Larvae,Fragmented - usable,20200819,20210511,6.80%,0.60%,1.20%,336.5,13.90%,39.50%,76,2.0X,4.4X,23.30%,18.70%,31%,63.5,23.10%,18.50%,31%,63.5
L-933_S203_L004_R1_001_val_1,Trim_3,L-933,P-10-A,Patch-Ambient-Patch,Larvae,Fragmented - usable,20200820,20210511,7.00%,0.60%,1.00%,439.4,16.10%,40.10%,84,2.0X,5.6X,21.00%,21.50%,29%,76.6,20.90%,21.50%,29%,76.6
18-106_S163_L004_R1_001_val_1,Original,18-106,P-19-A,Patch-Heated-Patch,Adult,High Molecular Weight,20200819,20210422,8.50%,0.90%,1.10%,408.6,15.00%,35.10%,123,3.0X,4.9X,15.70%,17.50%,28%,52.8,15.60%,17.30%,28%,52.8
18-142_S189_L004_R1_001_val_1,Original,18-142,R-8-A,Rim-Ambient-Patch,Adult,High Molecular Weight,20200806,20210504,7.40%,0.60%,0.90%,416.5,12.20%,38.30%,109,2.0X,5.3X,19.50%,18.20%,29%,54,19.30%,17.90%,29%,54
18-167_S166_L004_R1_001_val_1,Original,18-167,R-19-A,Rim-Heated-Patch,Adult,High Molecular Weight,20200819,20210422,8.40%,0.90%,1.20%,272.9,11.60%,32.50%,121,2.0X,3.3X,15.80%,12.90%,28%,37.2,15.60%,13.20%,28%,37.2
18-178_S191_L004_R1_001_val_1,Original,18-178,R-5-B,Rim-Ambient-Rim,Adult,High Molecular Weight,20200821,20210504,7.60%,0.60%,0.90%,442.5,14.50%,35.60%,108,2.0X,5.7X,20.10%,19.90%,30%,64.1,19.90%,20.00%,30%,64.1
18-190_S186_L004_R1_001_val_1,Original,18-190,P-14-A,Patch-Heated-Patch,Adult,High Molecular Weight,20200814,20210504,8.20%,0.60%,0.90%,452.4,18.80%,37.80%,117,3.0X,5.5X,18.20%,24.50%,29%,60.3,18.10%,24.30%,29%,60.3
18-20_S202_L004_R1_001_val_1,Original,18-20,R-7-B,Rim-Ambient-Rim,Adult,High Molecular Weight,20200814,20210511,7.40%,0.60%,0.90%,401,17.00%,34.90%,125,2.0X,4.8X,17.10%,22.80%,29%,54.3,17.00%,22.60%,29%,54.3
18-202_S188_L004_R1_001_val_1,Original,18-202,P-4-A,Patch-Ambient-Patch,Adult,High Molecular Weight,20200821,20210504,8.00%,0.60%,0.90%,327.6,12.10%,34.90%,110,2.0X,4.1X,20.00%,17.90%,30%,45.8,19.80%,17.80%,30%,45.8
18-32_S178_L004_R1_001_val_1,Original,18-32,P-12-B,Patch-Heated-Rim,Adult,High Molecular Weight,20200814,20210428,8.60%,0.80%,1.10%,470.9,11.40%,34.70%,111,4.0X,5.8X,20.20%,15.70%,30%,64.4,20.00%,15.40%,29%,64.4
18-322_S180_L004_R1_001_val_1,Original,18-322,P-9-A,Patch-Ambient-Patch,Adult,High Molecular Weight,20200813,20210428,7.80%,0.70%,1.00%,464.9,11.30%,34.20%,111,3.0X,6.0X,18.20%,15.10%,29%,65.3,18.00%,14.90%,29%,65.3
