Run,Well,Vial
7,H3,NA
7,H4,NA
7,H5,NA
7,H6,NA
7,H7,NA
7,H8,NA
7,H9,NA
7,H10,NA
7,H11,NA
7,H12,NA
8,A1,712
8,A2,712
8,A3,712
8,A4,715
8,A5,715
8,A6,715
8,A7,718
8,A8,718
8,A9,718
8,A10,721
8,A11,721
8,A12,721
8,B1,NA
8,B2,NA
8,B3,NA
8,B4,NA
8,B5,NA
8,B6,NA
8,B7,NA
8,B8,NA
8,B9,NA
8,B10,NA
8,B11,NA
8,B12,NA
8,C1,NA
8,C2,NA
8,C3,NA
8,C4,NA
8,C5,NA
8,C6,NA
8,C7,NA
8,C8,NA
8,C9,NA
8,C10,NA
8,C11,NA
8,C12,NA
8,D1,NA
8,D2,NA
8,D3,NA
8,D4,NA
8,D5,NA
8,D6,NA
8,D7,NA
8,D8,NA
8,D9,NA
8,D10,NA
8,D11,NA
8,D12,NA
8,E1,NA
8,E2,NA
8,E3,NA
8,E4,NA
8,E5,NA
8,E6,NA
8,E7,NA
8,E8,NA
8,E9,NA
8,E10,NA
8,E11,NA
8,E12,NA
8,F1,NA
8,F2,NA
8,F3,NA
8,F4,NA
8,F5,NA
8,F6,NA
8,F7,NA
8,F8,NA
8,F9,NA
8,F10,NA
8,F11,NA
8,F12,NA
8,G1,NA
8,G2,NA
8,G3,NA
8,G4,NA
8,G5,NA
8,G6,NA
8,G7,NA
8,G8,NA
8,G9,NA
8,G10,NA
8,G11,NA
8,G12,NA
8,H1,NA
8,H2,NA
8,H3,NA
8,H4,NA
8,H5,NA
8,H6,NA
8,H7,NA
8,H8,NA
8,H9,NA
8,H10,NA
8,H11,NA
8,H12,NA
9,A1,724
9,A2,724
9,A3,724
9,A4,727
9,A5,727
9,A6,727
9,A7,730
9,A8,730
9,A9,730
9,A10,733
9,A11,733
9,A12,733
9,B1,NA
9,B2,NA
9,B3,NA
9,B4,NA
9,B5,NA
9,B6,NA
9,B7,NA
9,B8,NA
9,B9,NA
9,B10,NA
9,B11,NA
9,B12,NA
9,C1,NA
9,C2,NA
9,C3,NA
9,C4,NA
9,C5,NA
9,C6,NA
9,C7,NA
9,C8,NA
9,C9,NA
9,C10,NA
9,C11,NA
9,C12,NA
9,D1,NA
9,D2,NA
9,D3,NA
9,D4,NA
9,D5,NA
9,D6,NA
9,D7,NA
9,D8,NA
9,D9,NA
9,D10,NA
9,D11,NA
9,D12,NA
9,E1,NA
9,E2,NA
9,E3,NA
9,E4,NA
9,E5,NA
9,E6,NA
9,E7,NA
9,E8,NA
9,E9,NA
9,E10,NA
9,E11,NA
9,E12,NA
9,F1,NA
9,F2,NA
9,F3,NA
9,F4,NA
9,F5,NA
9,F6,NA
9,F7,NA
9,F8,NA
9,F9,NA
9,F10,NA
9,F11,NA
9,F12,NA
9,G1,NA
9,G2,NA
9,G3,NA
9,G4,NA
9,G5,NA
9,G6,NA
9,G7,NA
9,G8,NA
9,G9,NA
9,G10,NA
9,G11,NA
9,G12,NA
9,H1,NA
9,H2,NA
9,H3,NA
9,H4,NA
9,H5,NA
9,H6,NA
9,H7,NA
9,H8,NA
9,H9,NA
9,H10,NA
9,H11,NA
9,H12,NA
10,A1,736
10,A2,736
10,A3,736
10,A4,739
10,A5,739
10,A6,739
10,A7,842
10,A8,842
10,A9,842
10,A10,845
10,A11,845
10,A12,845
10,B1,NA
10,B2,NA
10,B3,NA
10,B4,NA
10,B5,NA
10,B6,NA
10,B7,NA
10,B8,NA
10,B9,NA
10,B10,NA
10,B11,NA
10,B12,NA
10,C1,NA
10,C2,NA
10,C3,NA
10,C4,NA
10,C5,NA
10,C6,NA
10,C7,NA
10,C8,NA
10,C9,NA
10,C10,NA
10,C11,NA
10,C12,NA
10,D1,NA
10,D2,NA
10,D3,NA
10,D4,NA
10,D5,NA
10,D6,NA
10,D7,NA
10,D8,NA
10,D9,NA
10,D10,NA
10,D11,NA
10,D12,NA
10,E1,NA
10,E2,NA
10,E3,NA
10,E4,NA
10,E5,NA
10,E6,NA
10,E7,NA
10,E8,NA
10,E9,NA
10,E10,NA
10,E11,NA
10,E12,NA
10,F1,NA
10,F2,NA
10,F3,NA
