"","GO_ID","gene","colors","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"721","GO:0005737","Pastreoides04970","brown",NA,NA,NA,NA,NA,NA,NA,NA
"722","GO:0005737","Pastreoides07627","brown",NA,NA,NA,NA,NA,NA,NA,NA
"723","GO:0005737","Pastreoides09651","brown",NA,NA,NA,NA,NA,NA,NA,NA
"724","GO:0005737","Pastreoides11992","brown",NA,NA,NA,NA,NA,NA,NA,NA
"725","GO:0005737","Pastreoides13607","brown",NA,NA,NA,NA,NA,NA,NA,NA
"726","GO:0005737","Pastreoides30632","brown",NA,NA,NA,NA,NA,NA,NA,NA
"727","GO:0005737","Pastreoides17292","brown",NA,NA,NA,NA,NA,NA,NA,NA
"728","GO:0005737","Pastreoides18624","brown",NA,NA,NA,NA,NA,NA,NA,NA
"729","GO:0005737","Pastreoides40764","brown",NA,NA,NA,NA,NA,NA,NA,NA
"730","GO:0005737","Pastreoides27424","brown",NA,NA,NA,NA,NA,NA,NA,NA
"731","GO:0005737","Pastreoides22771","brown",NA,NA,NA,NA,NA,NA,NA,NA
"732","GO:0005737","Pastreoides22771","brown",NA,NA,NA,NA,NA,NA,NA,NA
"733","GO:0005737","Pastreoides24119","brown",NA,NA,NA,NA,NA,NA,NA,NA
"734","GO:0005737","Pastreoides48403","brown",NA,NA,NA,NA,NA,NA,NA,NA
"735","GO:0005737","Pastreoides50902","brown",NA,NA,NA,NA,NA,NA,NA,NA
"736","GO:0005737","Pastreoides54068","brown",NA,NA,NA,NA,NA,NA,NA,NA
"737","GO:0005737","Pastreoides27385","brown",NA,NA,NA,NA,NA,NA,NA,NA
"738","GO:0005737","Pastreoides29486","brown",NA,NA,NA,NA,NA,NA,NA,NA
"739","GO:0005737","Pastreoides31703","brown",NA,NA,NA,NA,NA,NA,NA,NA
"740","GO:0005737","Pastreoides32967","brown",NA,NA,NA,NA,NA,NA,NA,NA
"741","GO:0005737","Pastreoides36405","brown",NA,NA,NA,NA,NA,NA,NA,NA
"742","GO:0005737","Pastreoides43918","brown",NA,NA,NA,NA,NA,NA,NA,NA
"743","GO:0005737","Pastreoides36628","brown",NA,NA,NA,NA,NA,NA,NA,NA
"744","GO:0005737","Pastreoides43146","brown",NA,NA,NA,NA,NA,NA,NA,NA
"745","GO:0005737","Pastreoides47605","brown",NA,NA,NA,NA,NA,NA,NA,NA
"746","GO:0005737","Pastreoides48157","brown",NA,NA,NA,NA,NA,NA,NA,NA
"747","GO:0005739","Pastreoides03951","brown",NA,NA,NA,NA,NA,NA,NA,NA
"748","GO:0005739","Pastreoides08493","brown",NA,NA,NA,NA,NA,NA,NA,NA
"749","GO:0005739","Pastreoides09994","brown",NA,NA,NA,NA,NA,NA,NA,NA
"750","GO:0005739","Pastreoides11868","brown",NA,NA,NA,NA,NA,NA,NA,NA
"751","GO:0005739","Pastreoides21542","brown",NA,NA,NA,NA,NA,NA,NA,NA
"752","GO:0005739","Pastreoides27519","brown",NA,NA,NA,NA,NA,NA,NA,NA
"753","GO:0005739","Pastreoides38203","brown",NA,NA,NA,NA,NA,NA,NA,NA
"754","GO:0005739","Pastreoides44320","brown",NA,NA,NA,NA,NA,NA,NA,NA
"755","GO:0005740","Pastreoides30196","brown",NA,NA,NA,NA,NA,NA,NA,NA
"756","GO:0005743","Pastreoides31689","brown",0.0157318310613951,0.99768610066477,4,13,"mitochondrial inner membrane","CC","mitochondrion","C"
"757","GO:0005743","Pastreoides21450","brown",0.0157318310613951,0.99768610066477,4,13,"mitochondrial inner membrane","CC","mitochondrion","C"
"758","GO:0005743","Pastreoides13586","brown",0.0157318310613951,0.99768610066477,4,13,"mitochondrial inner membrane","CC","mitochondrion","C"
"759","GO:0005743","Pastreoides51631","brown",0.0157318310613951,0.99768610066477,4,13,"mitochondrial inner membrane","CC","mitochondrion","C"
"760","GO:0005759","Pastreoides21202","brown",0.0120016673209155,0.997837147455257,5,18,"mitochondrial matrix","CC","mitochondrion","C"
"761","GO:0005759","Pastreoides02208","brown",0.0120016673209155,0.997837147455257,5,18,"mitochondrial matrix","CC","mitochondrion","C"
"762","GO:0005759","Pastreoides51631","brown",0.0120016673209155,0.997837147455257,5,18,"mitochondrial matrix","CC","mitochondrion","C"
"763","GO:0005759","Pastreoides21881","brown",0.0120016673209155,0.997837147455257,5,18,"mitochondrial matrix","CC","mitochondrion","C"
"764","GO:0005759","Pastreoides15480","brown",0.0120016673209155,0.997837147455257,5,18,"mitochondrial matrix","CC","mitochondrion","C"
"765","GO:0005764","Pastreoides03540","brown",NA,NA,NA,NA,NA,NA,NA,NA
"766","GO:0005764","Pastreoides10000","brown",NA,NA,NA,NA,NA,NA,NA,NA
"767","GO:0005764","Pastreoides30636","brown",NA,NA,NA,NA,NA,NA,NA,NA
"768","GO:0005765","Pastreoides27332","brown",NA,NA,NA,NA,NA,NA,NA,NA
"769","GO:0005765","Pastreoides29772","brown",NA,NA,NA,NA,NA,NA,NA,NA
"770","GO:0005765","Pastreoides39087","brown",NA,NA,NA,NA,NA,NA,NA,NA
"771","GO:0005768","Pastreoides09994","brown",NA,NA,NA,NA,NA,NA,NA,NA
"772","GO:0005768","Pastreoides20277","brown",NA,NA,NA,NA,NA,NA,NA,NA
"773","GO:0005768","Pastreoides34121","brown",NA,NA,NA,NA,NA,NA,NA,NA
