"","GO_ID","gene","adj.pval.Origin","adj.pval.Treatment","adj.pval.LifeStage","adj.pval.Origin_x_Treatment","adj.pval.Origin_x_LifeStage","adj.pval.Treatment_x_LifeStage","adj.pval.Origin_x_Treatment_x_LifeStage","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"24","GO:0000166","Pastreoides37775",0.250096548052701,0.000932459369992637,0.000970114867102897,0.927384381279555,0.137197051240047,0.845810017967303,0.787971293632557,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"25","GO:0000166","Pastreoides23412",3.16090453301688e-05,4.52354597974338e-05,0.534305384286033,0.277192237509306,0.821849459180475,0.188644497191007,0.87794100167706,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"26","GO:0000166","Pastreoides16185",1.88606191199772e-41,8.20475754774998e-07,1.40848840725658e-23,1.47249191172668e-09,0.308545845752441,0.986430139080427,0.689920643569139,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"27","GO:0000166","Pastreoides37775",0.250096548052701,0.000932459369992637,0.000970114867102897,0.927384381279555,0.137197051240047,0.845810017967303,0.787971293632557,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"28","GO:0000166","Pastreoides16185",1.88606191199772e-41,8.20475754774998e-07,1.40848840725658e-23,1.47249191172668e-09,0.308545845752441,0.986430139080427,0.689920643569139,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"29","GO:0000166","Pastreoides12592",6.24993897928772e-18,0.0278875511038605,1.28420113136084e-13,0.641641231178343,0.379575142117338,0.731449227168692,0.234564068923037,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"30","GO:0000166","Pastreoides54268",2.59471996729472e-16,0.019486324949037,2.98503682323303e-35,7.58154219010325e-11,0.120704444947586,0.0705357516621794,1,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"31","GO:0000166","Pastreoides17880",1.57539381075176e-14,1.27053455094494e-37,5.03042811955832e-10,0.0018358384298694,0.055294035987902,0.334646845455828,0.0253228218288884,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"32","GO:0000166","Pastreoides21571",0.0345841803997284,0.013715144156792,0.395958533772753,0.877118674410569,0.762480531735189,0.934293314106891,0.832490972100582,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"33","GO:0000166","Pastreoides54268",2.59471996729472e-16,0.019486324949037,2.98503682323303e-35,7.58154219010325e-11,0.120704444947586,0.0705357516621794,1,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"34","GO:0000166","Pastreoides21032",3.79124203837066e-06,0.000471039439744305,0.00194061680488058,0.604064632224569,0.700901791993267,0.360496193536816,0.853959177484717,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"35","GO:0000166","Pastreoides13614",0.000255676859069073,4.024548795146e-14,0.00837645099090844,3.70635592566755e-06,0.0937785296530149,0.387780166796651,0.226375019005827,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"36","GO:0000166","Pastreoides16185",1.88606191199772e-41,8.20475754774998e-07,1.40848840725658e-23,1.47249191172668e-09,0.308545845752441,0.986430139080427,0.689920643569139,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
