Sample.ID	Meth_Status	Feature	percent	Coral.ID	History	LifeStage	Group	Origin	Treatment	Transplant	Col_Life
68	18-142	Sparsely_Methylated	Downstream_Flanks	4.51	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
69	18-142	Sparsely_Methylated	CDS	8.51	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
70	18-142	Methylated	Introns	28.78	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
71	18-142	Sparsely_Methylated	Upstream_Flanks	5.61	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
72	18-142	All_CpGs	Downstream_Flanks	4.76	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
73	18-142	Methylated	CDS	9.27	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
74	18-142	Unmethylated	Downstream_Flanks	4.95	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
75	18-142	Unmethylated	Upstream_Flanks	6.36	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
76	18-142	Methylated	Upstream_Flanks	3.23	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
77	18-142	Methylated	Intergenic	55.98	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
78	18-142	Unmethylated	Introns	18.95	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
79	18-142	Methylated	Downstream_Flanks	2.74	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
80	18-142	Unmethylated	Intergenic	60.48	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
81	18-167	Methylated	Introns	27.62	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
82	18-167	Unmethylated	Upstream_Flanks	6.25	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
83	18-167	Unmethylated	Intergenic	60.31	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
84	18-167	All_CpGs	Introns	19.33	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
85	18-167	All_CpGs	Upstream_Flanks	5.97	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
86	18-167	All_CpGs	Intergenic	60	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
87	18-167	Methylated	CDS	9.9	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
88	18-167	Sparsely_Methylated	Downstream_Flanks	4.54	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
89	18-167	Methylated	Upstream_Flanks	3.31	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
