Sample.ID	Meth_Status	Feature	counts	Coral.ID	History	LifeStage	Group	Origin	Treatment	Transplant	Col_Life
62	18-130	Sparsely_Methylated	All_Flanks	40936	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
63	18-130	Methylated	Introns	112331	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
64	18-130	Methylated	All_Flanks	24881	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
65	18-130	Methylated	Gene	151783	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
66	18-130	Unmethylated	Introns	932753	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
67	18-130	Sparsely_Methylated	CDS	35046	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
68	18-130	Sparsely_Methylated	Introns	79437	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
69	18-130	Unmethylated	CDS	489371	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
70	18-130	All_CpGs	All_Flanks	631509	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
71	18-130	All_CpGs	Upstream_Flanks	355017	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
72	18-130	All_CpGs	Intergenic	3473884	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
73	18-130	Sparsely_Methylated	Upstream_Flanks	22888	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
74	18-130	Sparsely_Methylated	Intergenic	236622	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
